Title,Authors,Year,Keywords,Abstract,URL,Relevance
[PDF][PDF] Repositioning library and information science graduates in Nigeria for self-employment through entrepreneurship education,"EU Anyanwu, EA Oduagwu, OV Ossai-Onah… - … International Journal of …, 2013 - Citeseer",2013 - Citeseer,,"… Entrepreneurship education seeks to provide students … entrepreneurship lacks the basis 
ICT skills, do we expect a magic to make the students acquire these skills, if it happens, then it …",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=648a3213cb99bd3709c9c5238fc7a2d2219d5c7c,True
New perspectives on entrepreneurship education,"P Jones, G Maas, L Pittaway - Entrepreneurship Education, 2017 - emerald.com",2017 - emerald.com,,"… provide a wider evidence base of effective entrepreneurship … , what the students learned in 
terms of enterprise education and how … It is apparent that entrepreneurship education is at the …",https://www.emerald.com/insight/content/doi/10.1108/S2040-724620170000007006/full/html,True
Designing technology entrepreneurship education using computational thinking,"Y Kang, K Lee - Education and Information Technologies, 2020 - Springer",2020 - Springer,,"… To help students improve learning outcomes, we propose a … We provide the study results 
from the survey and in-depth … Thus, we introduce a sequence of a business model, CT, and IT …",https://link.springer.com/article/10.1007/s10639-020-10231-2,True
Exploring the role of entrepreneurial marketing in entrepreneurship education,"C Jones, C Hegarty - Journal of Small Business & Entrepreneurship, 2011 - Taylor & Francis",2011 - Taylor & Francis,,"… entrepreneurship education open to accusations that it is … systematic review of entrepreneurship 
education by Pittaway … on entrepreneurship education by delivery staff and by students. …",https://www.tandfonline.com/doi/abs/10.1080/08276331.2011.10593530,True
Promoting the entrepreneurship education using a blended learning approach,"C Martin - … proceedings of» eLearning and Software for Education …, 2012 - ceeol.com",2012 - ceeol.com,,"… and focus on students. There will be … It was directed towards building business skills and 
theoretical/strategic planning skills, along with the intent to deliver entrepreneurship education …",https://www.ceeol.com/search/article-detail?id=41716,True
The relationship between entrepreneurship education and entrepreneurial intentions: A meta–analytic review,"TJ Bae, S Qian, C Miao, JO Fiet - Entrepreneurship theory …, 2014 - journals.sagepub.com",2014 - journals.sagepub.com,,"… attributes of entrepreneurship education, students’ differences, … of entrepreneurship education 
and did not provide reliability, we … that the educational format, whether it was delivered in a …",https://journals.sagepub.com/doi/pdf/10.1111/etap.12095,True
The chronology and intellectual trajectory of American entrepreneurship education: 1876–1999,"JA Katz - Journal of business venturing, 2003 - Elsevier",2003 - Elsevier,,"… , this delivered small business training through universities.) … It also is reflected by the growth 
of entrepreneurship and … from students, firms and governments to let entrepreneurship fall …",https://www.sciencedirect.com/science/article/pii/S0883902602000988,True
"Some research perspectives on entrepreneurship education, enterprise education and education for small business management: a ten-year literature review","G Gorman, D Hanlon, W King - International small business …, 1997 - journals.sagepub.com",1997 - journals.sagepub.com,,"… Although this article deals primarily with post-se con dary students, it also has implications 
for the broader … These results provide a basis for designing entrepreneurship courses and …",https://journals.sagepub.com/doi/pdf/10.1177/0266242697153004,True
"Exploring graduate entrepreneurship: a collaborative, co-learning based approach for students, entrepreneurs and educators","PD Hannon, LA Collins… - … and Higher Education, 2005 - journals.sagepub.com",2005 - journals.sagepub.com,,"… supply of entrepreneurship education in UK higher education … It is also recognized that 
entrepreneurship education is a … that provide educational opportunities to entrepreneurs, which …",https://journals.sagepub.com/doi/pdf/10.5367/0000000053123600,True
Practice‐based learning in entrepreneurship education: a means of connecting knowledge producers and users,"B Hynes, Y Costin, N Birdthistle - Higher Education, Skills and Work …, 2010 - emerald.com",2010 - emerald.com,,"… ‐based initiative in entrepreneurship education implemented at the … of the business consulting 
programme, how it is operated, delivered, and assessed as a means of providing students …",https://www.emerald.com/insight/content/doi/10.1108/20423891111085366/full/html,True
Exploring the link between entrepreneurship education and entrepreneurial intentions: the moderating role of educational fields,"CD Duong - Education+ Training, 2022 - emerald.com",2022 - emerald.com,,"… It means that entrepreneurial education first affects attitude toward … Finally, the participants 
were recruited via a questionnaire that was directly delivered to university students. All the …",https://www.emerald.com/insight/content/doi/10.1108/ET-05-2021-0173/full/html,True
The impact of a STEM-based entrepreneurship program on the entrepreneurial intention of secondary school female students,"M Shahin, O Ilic, C Gonsalvez, J Whittle - International Entrepreneurship …, 2021 - Springer",2021 - Springer,,"… to develop and deliver entrepreneurship education programs for secondary school level 
students. … First, it was a team-based entrepreneurship program, as we grouped 203 …",https://link.springer.com/article/10.1007/s11365-020-00713-7,True
The elusive role of play in entrepreneurship education,"H Neck, E Grossman, D Winkel, J Stamp - … Entrepreneurship Education …, 2022 - Springer",2022 - Springer,,"… been seen as elusive, we provide a brief overview of what we … Even in entrepreneurship, 
however, where we find students … we may study in business; it is comprised of people with …",https://link.springer.com/chapter/10.1007/978-3-030-87865-8_5,True
[PDF][PDF] A new way of infusing entrepreneurship education into the IT curricula: A special case from UAE,"E Bataineh, Z Maamar - International Journal of Innovation, Management …, 2016 - ijimt.org",2016 - ijimt.org,,"… and deliver a course in international entrepreneurship education. The course has been 
designed like a workshop whose ultimate aim would be for students to design, build their own IT …",http://www.ijimt.org/vol7/662-SM0012.pdf,True
University's entrepreneurship education: Creating meaningful impression for new generation,"MN Zainuddin - Edited by Thierry Burger-Helmchen, 2012 - books.google.com",2012 - books.google.com,,"… and skills, it might affect the delivery of entrepreneurship education to the students thus affect 
… later deliver entrepreneurship education to the students becoming very enormous indeed. …",https://books.google.com/books?hl=en&lr=&id=MeKdDwAAQBAJ&oi=fnd&pg=PA175&dq=deliver+entrepreneurship+education+to+ict+students&ots=5hrnFdL9RV&sig=aw5PP_O2QycM94ICkAYRfyROvfw,True
"Gender, Entrepreneurial Self–Efficacy, and Entrepreneurial Career Intentions: Implications for Entrepreneurship Education","F Wilson, J Kickul, D Marlino - Entrepreneurship theory and …, 2007 - journals.sagepub.com",2007 - journals.sagepub.com,,"… It is notable that our sample of MBA students was drawn from … of entrepreneurship education 
experiences may provide a … sense of what it takes to start a successful business and the …",https://journals.sagepub.com/doi/pdf/10.1111/j.1540-6520.2007.00179.x,True
Creating an entrepreneurial mindset: getting the process right for information and communication technology students,"B Hynes, I Richardson - Information communication technologies …, 2008 - igi-global.com",2008 - igi-global.com,,"… linking of entrepreneurship education to the ICT curriculum … such as entrepreneurial activity, 
entrepreneurship education, … required about entrepreneurship to provide students with the …",https://www.igi-global.com/chapter/creating-entrepreneurial-mindset/22877,True
[PDF][PDF] A distributed concurrent design based e-learning approach to entrepreneurship education,"D Stamatis, B Hansson, TA Hjeltnes… - Proceedings of …, 2015 - academia.edu",2015 - academia.edu,,"… Entrepreneurship Education, aiming to young ICT professionals willing to turn innovative 
ideas into a business… of responsibility the students accept during course delivery for their own …",https://www.academia.edu/download/38332231/STAMATIS_ET_AL_ICEIRD.pdf,True
[HTML][HTML] Addressing progressive educational reforms: Fusing acquisition approaches and participation in Chinese entrepreneurship education,"R Bell, J Cui - The International Journal of Management Education, 2023 - Elsevier",2023 - Elsevier,,"… “Our goal is to provide students with the essential knowledge and experience of facets of 
entrepreneurship, as it is through engagement in an activity you can apply learnt knowledge …",https://www.sciencedirect.com/science/article/pii/S1472811722001501,True
[PDF][PDF] Entrepreneurship Education in Library and Information Science: Fostering Economic Growth and Development in Nigeria,"J Abdullahi, A Barkindo, EA Chioma - Library Philosophy and …, 2021 - researchgate.net",2021 - researchgate.net,,"… many ICT related courses to provide students with relevant competencies for innovation and 
entrepreneurship in … LIS courses have the potential of empowering students to become self …",https://www.researchgate.net/profile/Chioma-Ezeabasili-2/publication/348429784_Entrepreneurship_Education_in_Library_and_Information_Science_Fostering_Economic_Growth_and_Development_in_Nigeria/links/60983968458515d3150bd5de/Entrepreneurship-Education-in-Library-and-Information-Science-Fostering-Economic-Growth-and-Development-in-Nigeria.pdf,True
Entrepreneurship training in tertiary education: Its development and transfer,"T Jackson - Local Economy, 2015 - journals.sagepub.com",2015 - journals.sagepub.com,,"… , so it is important to identify and develop good practice in the … to stimulate business formation 
through its delivery of student … evidence that enterprise and entrepreneurship education is …",https://journals.sagepub.com/doi/pdf/10.1177/0269094215589143,True
[PDF][PDF] Innovative online learning in entrepreneurship education: The impact of embedding real-life industry practice in the virtual learning environment,"PG Oliver, S Oliver - Industry and Higher Education, 2022 - journals.sagepub.com",2022 - journals.sagepub.com,,"… students to gain specialised skills to find employment after graduation. This study explores 
how educational scaffolding can facilitate the delivery … wider accessibility it would provide for …",https://journals.sagepub.com/doi/pdf/10.1177/09504222221121283,True
[PDF][PDF] Supporting entrepreneurship education in East Africa,"E Kaijage, D Wheeler - 2013 - assets.publishing.service.gov.uk",D Wheeler - 2013 - assets.publishing.service.gov.uk,,"… and students on the premise that entrepreneurial success … of entrepreneurship education as 
represented by this project, it … building in delivering entrepreneurship education. Likewise for …",https://assets.publishing.service.gov.uk/media/57a08a3440f0b652dd0005fc/Entrepreneurship-Education-East-Africa-2013_.pdf,True
Practical knowledge in preparing financial statements and ICT-enabled financial plans: An empirical study among entrepreneurial students in Oman,"MM Thottoli - International Entrepreneurship Review, 2021 - ier.uek.krakow.pl",2021 - ier.uek.krakow.pl,,"… Entrepreneurship education among students has received … entrepreneurship, innovation, 
and to provide entrepreneurship creativity education, particularly among Omani students. …",https://ier.uek.krakow.pl/index.php/pm/article/view/2013,True
[PDF][PDF] A Study of entrepreneurship education in Botswana and the significance of institutional preparation,"JR Swartland - Biennale on Education in Africa, 2008 - biennale.adeanet.org",2008 - biennale.adeanet.org,,"… curriculum to permeate and alter it in a way that affects all learners. EE content is therefore 
spread across as many subjects as possible to provide learners with frequent EE encounters. …",https://biennale.adeanet.org/2008/Documentation/Papers%20for%20presentation/06.%20Session%206/Parallel%20session%206C/Final%20PDF%20documents/Session%206C%20Doc%202%20Botswana%20ENG.pdf,True
[PDF][PDF] Competency-based entrepreneurship education: analysis of the disruptive innovation theory in African HEIs,"BN Irene, AP Opute, AS Ibidunni - … Journal of Business …, 2020 - pureportal.coventry.ac.uk",2020 - pureportal.coventry.ac.uk,,"… While entrepreneurship education has been delivered in the traditional credit hour … and 
student. Therefore, while the disruptive innovations are enablers, it is crucial that business school …",https://pureportal.coventry.ac.uk/files/27578495/Irene_et_al_.pdf,True
[PDF][PDF] Status of entrepreneurship education in south-south Nigerian tertiary institutions as perceived by lecturers,"AO Oriazowanlan - Unpublished Doctoral Dissertation). Nnamdi …, 2013 - academia.edu",2013 - academia.edu,,"… students but is what is currently on ground in these institutions are not known. If the delivering 
practice of any course is not effective, it … entrepreneurship education lecturers for delivering …",https://www.academia.edu/download/51789133/STATUS__OF_ENTREPRENEURSHIP_EDUCATION_IN_SOUTH-SOUTH_NIGERIAN_TERTIARY_INSTITUTIONS.pdf,True
"Entrepreneurship education and the enhancement of entrepreneurial skills among undergraduates in South-Eastern Federal universities, Nigeria",VN Okoro - 2016 - dspace.unn.edu.ng,VN Okoro - 2016 - dspace.unn.edu.ng,,"… NUC, it becomes obvious that entrepreneurship education is … pedagogies for entrepreneurship 
education delivery in Nigerian … extent to which it imparts entrepreneurial skills in students. …",http://dspace.unn.edu.ng/handle/123456789/1622,True
[PDF][PDF] Nexus of ICT & Entrepreneurship Education in Nigeria: A Critical Review,"M Suleiman, HSB Magaji - International Journal of Research, 2020 - academia.edu",2020 - academia.edu,,"… relationship between ICT and entrepreneurship education in Nigeria. Small business growth… 
It explains exciting and innovative ways to provide students with global access to information…",https://www.academia.edu/download/89536644/19655.pdf,True
Influence of early exposure to family business experience on developing entrepreneurs,"C Tarling, P Jones, L Murphy - Education+ Training, 2016 - emerald.com",2016 - emerald.com,,"… It is found that individuals attachment to business and … Entrepreneurship education can 
provide learners with a resource of newly acquainted role models who may support students with …",https://www.emerald.com/insight/content/doi/10.1108/ET-03-2016-0050/full/html,True
[PDF][PDF] Digital Entrepreneurship In Academic Environment: Are We There Yet,"RL Lubis - Journal of Teaching and Education, 2019 - researchgate.net",2019 - researchgate.net,,"… The variety of audiences of entrepreneurship education programs includes students with … 
it is worth noting to provide the readers with the insights into the nature of the intersection of …",https://www.researchgate.net/profile/Ratna-Lubis/publication/339089384_DIGITAL_ENTREPRENEURSHIP_IN_ACADEMIC_ENVIRONMENT_ARE_WE_THERE_YET/links/5e3cf9c1458515072d862a86/DIGITAL-ENTREPRENEURSHIP-IN-ACADEMIC-ENVIRONMENT-ARE-WE-THERE-YET.pdf,True
Youth entrepreneurship education and training for poverty alleviation: A review of international literature and local experiences,"A Baxter, DW Chapman, J DeJaeghere… - … entrepreneurship, 2014 - emerald.com",2014 - emerald.com,,"… social entrepreneurs are leading initiatives to provide market-… It is possible that all of these 
different approaches will yield … How long does it take to prepare students for employment …",https://www.emerald.com/insight/content/doi/10.1108/S1479-3679(2013)0000023010/full/html,True
[PDF][PDF] Entrepreneurship skills development and self-reliance motive,"TA Ukah, CA Atah - World Journal of Entrepreneurial Development …, 2021 - iiardjournals.org",2021 - iiardjournals.org,,"… To Lee and Wong (2008), entrepreneurship education is a … This is because it seeks to provide 
students with the … cannot deliver the content of entrepreneurship education curriculum. The …",https://www.iiardjournals.org/get/WJEDS/VOL.%206%20NO.%201%202021/ENTREPRENEURSHIP%20SKILLS%20DEVELOPMENT.pdf,True
Content Analysis of Entrepreneurship Education in Primary and Secondary School Textbooks,"T Dorji - Research in Educational Policy and Management, 2021 - repamjournal.org",2021 - repamjournal.org,,"… Thus, most students do not have entrepreneurship education and … The existing school 
textbooks do not deliver the right skills for the … Through this study, it was discovered that the current …",http://repamjournal.org/index.php/REPAM/article/view/41,True
Entrepreneurship education: Innovations and best practices,"MJ Manimala, P Thomas - Entrepreneurship education: Experiments with …, 2017 - Springer",2017 - Springer,,"… The issue of ‘where’ to provide entrepreneurship education/training is intrinsically linked 
with the choice of the target group. If it is given to students as part of their formal education, it …",https://link.springer.com/chapter/10.1007/978-981-10-3319-3_1,True
The Usage of Radio Streaming for Entrepreneurship Education,"M Teguh, PA Pascarina, VJ Augusto - Journal on Education, 2023 - jonedu.org",2023 - jonedu.org,,"… It is hoped that the results of this research will be a real contribution to the world of 
entrepreneurship education. … is expected to provide benefits for both teachers and students. For …",https://www.jonedu.org/index.php/joe/article/view/1930,True
Effectiveness of entrepreneurship education in developing entrepreneurial intentions among Malaysian university students,P Rengiah - 2013 - researchportal.scu.edu.au,P Rengiah - 2013 - researchportal.scu.edu.au,,"… of knowledge on entrepreneurship education in the Malaysian universities. It also proposed 
… entrepreneurship education and entrepreneurial intentions as necessary and appropriate. …",https://researchportal.scu.edu.au/esploro/outputs/991012821351302368?institution=61SCU_INST&skipUsageReporting=true&recordUsage=false,True
[PDF][PDF] Teaching strategies to develop technical entrepreneurs,"N Asykin, MS Rasul, N Othman - International Journal of Innovation …, 2019 - ijicc.net",2019 - ijicc.net,,"… It aims to generate entrepreneurial graduates capable of … that entrepreneurship education 
not only educates students to … in delivering entrepreneurial knowledge to students should be …",https://ijicc.net/images/vol7iss6/7611_Asykin_2019_E_R.pdf,True
[BOOK][B] The change laboratory for teacher training in entrepreneurship education: A new skills agenda for Europe,D Morselli - 2019 - library.oapen.org,D Morselli - 2019 - library.oapen.org,,"… any educator in entrepreneurship education and it should be … tions for the delivery of 
entrepreneurial education, including … and entrepreneurship (SIE) among students, in educational …",https://library.oapen.org/handle/20.500.12657/23305,True
Assessing the impact of entrepreneurship education programmes: a new methodology,"A Fayolle, B Gailly, N Lassas‐Clerc - Journal of European industrial …, 2006 - emerald.com",2006 - emerald.com,,"… on the entrepreneurial intention of the students, while it had … that framework, to illustrate how 
it can be used to evaluate the … Second, the results provide little guidance regarding how the …",https://www.emerald.com/insight/content/doi/10.1108/03090590610715022/full/html?journalCode=jeit&utm_source=TrendMD&utm_medium=cpc&utm_campaign=Journal_of_European_Industrial_Training_TrendMD_1&WT.mc_id=Emerald_TrendMD_1,True
Planning for entrepreneurialism in a rentier state economy: Entrepreneurship education for economic diversification in Oman,I Al Shabibi - 2020 - orca.cardiff.ac.uk,I Al Shabibi - 2020 - orca.cardiff.ac.uk,,"… the students in this study understand entrepreneurship, but … used in practice to deliver this 
course to identify how it fits with the … The purpose of this chapter is to provide a theoretical …",https://orca.cardiff.ac.uk/id/eprint/134260/,True
Developing entrepreneurial capacities and mindsets of youths and undergraduates through entrepreneurship education in Nigeria,"OA Tony, SO Sefiu, AT Olamide… - … , Business and …, 2018 - search.proquest.com",2018 - search.proquest.com,,"… entrepreneurship education accessible to all students, creating teams for the development 
and exploitation of business ideas, mixing students … it imperative that researchers provide a …",https://search.proquest.com/openview/6c15b8bf1511fa797d098f491aacd582/1?pq-origsite=gscholar&cbl=2032142,True
"Developing entrepreneurship education in Europe: Teachers' commitment to entrepreneurship education in the UK, Finland and Spain","J Seikkula-Leino, E Ruskovaara, T Pihkala… - … of entrepreneurship …, 2019 - elgaronline.com",2019 - elgaronline.com,,"… it. Second, … ship and thus commitment to entrepreneurship education may be weak. 
Interestingly, Spanish teachers talk about goals like offering students their first contact with business …",https://www.elgaronline.com/abstract/edcoll/9781786438225/9781786438225.00014.xml,True
Student entrepreneurship ecosystems at Australian higher education institutions,"A Maritz, Q Nguyen, S Ivanov - … of Small Business and Enterprise …, 2022 - emerald.com",2022 - emerald.com,,"… provide narratives on best practice student entrepreneurship … We further identify 
entrepreneurship education programs as … We adopt this definition within this paper, as it provides …",https://www.emerald.com/insight/content/doi/10.1108/JSBED-11-2021-0466/full/html,True
[PDF][PDF] INSTRUCTIONAL METHODS FOR DELIVERING ENTREPRENEURSHIP EDUCATION IN BUSINESS EDUCATION PROGRAMME IN TERTIARY …,"J AMESI, U OBI - World, 2020 - benchmarkjournals.com",2020 - benchmarkjournals.com,,"… others: Delivery of Entrepreneurship Education should be done … methods to enable the 
learners (students) to acquire more … It makes entrepreneurship education easier to deliver as it is …",https://benchmarkjournals.com/wp-content/uploads/2020/09/15-2.pdf,True
Factors influencing the implementation of entrepreneurship education in tertiary institutions in Rivers State,"EA Amadi, SC Eze - … of Innovative Social & Science Education …, 2019 - eprints.lmu.edu.ng",2019 - eprints.lmu.edu.ng,,"… It is based on this reason that this study seeks to investigate … entrepreneurial education in 
tertiary institutions in Rivers State. … Entrepreneurship education seeks to provide students with …",http://eprints.lmu.edu.ng/2430/,True
Entrepreneurship education knowledge transfer in a conflict Sub-Saharan African context,"P Anosike - Journal of Small Business and Enterprise Development, 2018 - emerald.com",2018 - emerald.com,,"… In this study, knowledge transfer is employed as a mechanism to deliver EE to Northeast … 
teaching and assessing students in a range of subjects including business, IT and engineering. …",https://www.emerald.com/insight/content/doi/10.1108/JSBED-01-2017-0001/full/html,True
"Fusing Technology, Innovation and Entrepreneurship Into Postgraduate Education","P Ketikidis, A Sotiriadou, T Hatziapostolou… - … Entrepreneurship …, 2012 - books.google.com",2012 - books.google.com,,"… have excelled in delivering entrepreneurship education for non business students. The case… 
studies, since it is perceived that technical/scientific students have greater success chances …",https://books.google.com/books?hl=en&lr=&id=HZsDBAAAQBAJ&oi=fnd&pg=PA366&dq=deliver+entrepreneurship+education+to+ict+students&ots=Bixn6Okgyv&sig=gEPtYsSS4Q9Q0O9J-QSF1yOb5v4,True
Social entrepreneurship education: Insights from the Indian higher educational courses,"P Kumar - Academy of Strategic Management …, 2021 - research.skylineuniversity.ac.ae",2021 - research.skylineuniversity.ac.ae,,"… ventures are considered as a means to deliver basic services … It means that social 
entrepreneurs need to be trained in a … imparted in the US for the postgraduate students focuses …",http://research.skylineuniversity.ac.ae/id/eprint/114/,True
Entrepreneurial curriculum in African universities: A panacea to graduates' unemployment if?,"CJ Igbokwe-Ibeto, FC Agbodike… - … Public Service Delivery …, 2018 - journals.co.za",2018 - journals.co.za,,"… to impart entrepreneurial spirit in students. … of entrepreneurship education in the curriculum 
of Nigerian universities by the NUC, it becomes obvious that entrepreneurship education is …",https://journals.co.za/doi/abs/10.4102/apsdpr.v6i1.222,True
An investigation into the impact of techno-entrepreneurship education on self-employment,"F Farzin, J Thomson, R Dekkers, G Whittam - 2014 - researchonline.gcu.ac.uk",G Whittam - 2014 - researchonline.gcu.ac.uk,,"… on it being close to the aim of this research and all articles examined the influence of 
techno-entrepreneurship education on students… in delivering technoentrepreneurship education …",https://researchonline.gcu.ac.uk/en/publications/an-investigation-into-the-impact-of-techno-entrepreneurship-educa,True
[PDF][PDF] An Exploration of Two Entrepreneurship Education Programs Delivered to Secondary School Students and Their Impact on Student Self-Efficacy,G Beriman - 2019 - research-repository.griffith.edu.au,G Beriman - 2019 - research-repository.griffith.edu.au,,"… While this term is suitable for use in this study, the US-based term ‘entrepreneurship education’ 
has been selected as it is more widely used globally and reflects the purpose of this study…","https://research-repository.griffith.edu.au/bitstream/handle/10072/389504/Beriman,Gemma_Final%20Thesis_redacted.pdf?sequence=4",True
The Analysis of Entrepreneurship Program within Higher Education (Institution Case Study of the Management of Business in Telecommunications and Informatics …,"M Yosephine, A Ghina - International Journal of Education and Practice, 2017 - ERIC",2017 - ERIC,,"… entrepreneurs in order to fulfill this gap, so it is necessary to evaluate the EE program delivered 
by the university in shaping the entrepreneurial … the entrepreneurship education program …",https://eric.ed.gov/?id=EJ1209968,True
[HTML][HTML] The Development Dilemma and Path Choice of Innovation and Entrepreneurship Education Based on Game Theory,"H Zhu, Q Wang - Advances in Multimedia, 2022 - hindawi.com",2022 - hindawi.com,,"… Through the in-depth analysis of the difficulties of government, schools, and students, it can 
… to provide students with a lack of entrepreneurial education resources. And the students, like …",https://www.hindawi.com/journals/am/2022/2232253/,True
[HTML][HTML] Path Realization and Analysis of Synergy between Ecological Environment Development and Innovative Entrepreneurship Education,"Z Peng - Journal of Environmental and Public Health, 2022 - hindawi.com",2022 - hindawi.com,,"… This study tries to provide some useful insights for innovation and entrepreneurship education 
… To promote innovation and entrepreneurship education for college students, it cannot be …",https://www.hindawi.com/journals/jeph/2022/8634134/,True
[BOOK][B] Experiential Learning for Entrepreneurship,"D Hyams-Ssekasi, EF Caldwell - 2018 - Springer",EF Caldwell - 2018 - Springer,,"… Advocates for entrepreneurship education note that it can increase students’ interest in … 
, supporting the design and delivery of enterprise education programmes across Europe and …",https://link.springer.com/content/pdf/10.1007/978-3-319-90005-6.pdf,True
Transforming Entrepreneurship Education: Interdisciplinary Insights on Innovative Methods and Formats,"J Halberstadt, A Alcorta de Bronstein, J Greyling… - 2023 - library.oapen.org",J Greyling… - 2023 - library.oapen.org,,"… to new educational formats and be more resilient, it is when … teachers, researchers, students, 
and entrepreneurs alike, as well … We provide theoretical and methodological insights, and …",https://library.oapen.org/handle/20.500.12657/60781,True
