Title,Authors,Year,Keywords,Abstract,URL
[HTML][HTML] Online and blended entrepreneurship education: a systematic review of applied educational technologies,"L Chen, D Ifenthaler, JYK Yau - Entrepreneurship Education, 2021 - Springer",2021 - Springer,,"… we apply it to entrepreneurship education. We conclude that instructors and learners need 
to … One of the aims of this systematic review is to provide guidelines for informing decision-…",https://link.springer.com/article/10.1007/s41959-021-00047-7
Entrepreneurship education and employability skills: the mediating role of e-learning courses,"P Mittal, S Raghuvaran - Entrepreneurship Education, 2021 - Springer",2021 - Springer,,"… in terms of “what” and “how” to deliver entrepreneurship education and to foster student’s … 
It is here at this juncture that we believe that entrepreneurship education delivered via e-…",https://link.springer.com/article/10.1007/s41959-021-00048-6
[HTML][HTML] How curriculum delivery translates into entrepreneurial skills: The mediating role of knowledge of information and communication technology,"J Iqbal, X Yi, MA Ashraf, R Chen, J Ning, S Perveen… - Plos one, 2022 - journals.plos.org",2022 - journals.plos.org,,"… ICT knowledge in entrepreneurial education is seen as evidence of successful entrepreneurs 
in the western world [14], and ICT … students through the ICT knowledge of teachers. CD and …",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0265880
Enterprise education needs enterprising educators: A case study on teacher training provision,"K Penaluna, A Penaluna, C Usei, D Griffiths - Education+ Training, 2015 - emerald.com",2015 - emerald.com,,"… , and it might be assumed that these would be delivered in traditional … students research, 
plan and deliver sport and physical activities services and programmes for fellow students…",https://www.emerald.com/insight/content/doi/10.1108/ET-03-2015-0016/full/html
It's not an exact science: teaching entrepreneurship in Northern Ireland,"C Hegarty - Education+ Training, 2006 - emerald.com",2006 - emerald.com,,"… student perspectives towards entrepreneurship education, research has proven that 
entrepreneurship education is increasingly valued but it … face challenges in delivering the subject …",https://www.emerald.com/insight/content/doi/10.1108/00400910610677036/full/html
Entrepreneurship education: A systematic review of the evidence,"L Pittaway, J Cope - International small business journal, 2007 - journals.sagepub.com",2007 - journals.sagepub.com,,"… then it can be concluded that entrepreneurship education, as a … directly relevant to ‘entrepreneurship 
education’ as defined in … do provide an environmental context within which ‘student …",https://journals.sagepub.com/doi/pdf/10.1177/0266242607080656
[PDF][PDF] Repositioning library and information science graduates in Nigeria for self-employment through entrepreneurship education,"EU Anyanwu, EA Oduagwu, OV Ossai-Onah… - … International Journal of …, 2013 - Citeseer",2013 - Citeseer,,"… Entrepreneurship education seeks to provide students … entrepreneurship lacks the basis 
ICT skills, do we expect a magic to make the students acquire these skills, if it happens, then it …",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=648a3213cb99bd3709c9c5238fc7a2d2219d5c7c
New perspectives on entrepreneurship education,"P Jones, G Maas, L Pittaway - Entrepreneurship Education, 2017 - emerald.com",2017 - emerald.com,,"… provide a wider evidence base of effective entrepreneurship … , what the students learned in 
terms of enterprise education and how … It is apparent that entrepreneurship education is at the …",https://www.emerald.com/insight/content/doi/10.1108/S2040-724620170000007006/full/html
Designing technology entrepreneurship education using computational thinking,"Y Kang, K Lee - Education and Information Technologies, 2020 - Springer",2020 - Springer,,"… To help students improve learning outcomes, we propose a … We provide the study results 
from the survey and in-depth … Thus, we introduce a sequence of a business model, CT, and IT …",https://link.springer.com/article/10.1007/s10639-020-10231-2
Exploring the role of entrepreneurial marketing in entrepreneurship education,"C Jones, C Hegarty - Journal of Small Business & Entrepreneurship, 2011 - Taylor & Francis",2011 - Taylor & Francis,,"… entrepreneurship education open to accusations that it is … systematic review of entrepreneurship 
education by Pittaway … on entrepreneurship education by delivery staff and by students. …",https://www.tandfonline.com/doi/abs/10.1080/08276331.2011.10593530
[PDF][PDF] Enterprise education in schools,"C Gillie - Social Policy Section, London: House of …, 2012 - educationandemployers.org",2012 - educationandemployers.org,,"… courses taken by students aged 14 to 18 in secondary … of activities it comprised including 
enterprise education and … of local business education partnerships (BEPs) to deliver activities …",https://www.educationandemployers.org/wp-content/uploads/2014/06/Enterprise-education-in-schools.pdf
Promoting the entrepreneurship education using a blended learning approach,"C Martin - … proceedings of» eLearning and Software for Education …, 2012 - ceeol.com",2012 - ceeol.com,,"… and focus on students. There will be … It was directed towards building business skills and 
theoretical/strategic planning skills, along with the intent to deliver entrepreneurship education …",https://www.ceeol.com/search/article-detail?id=41716
Competency development in business graduates: An industry-driven approach for examining the alignment of undergraduate business education with industry …,"A Azevedo, G Apfelthaler, D Hurst - … Journal of Management Education, 2012 - Elsevier",2012 - Elsevier,,"… We intend to provide … , it is very important that business education programmes implement 
competency-based learning to complement academic programmes in order to assist students …",https://www.sciencedirect.com/science/article/pii/S1472811712000031
[PDF][PDF] Impact of new technologies on tertiary business education curricula,"JDA Utoware, AO Amiaya - Educational research international, 2014 - Citeseer",2014 - Citeseer,,"… , and (b) General Business Education; a programme to provide students with information and 
… Thus, it can deduced that the design of business education curriculum in the universities is …",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7a07777308bf4d8b628d455eae13bd9901fcc05c
The relationship between entrepreneurship education and entrepreneurial intentions: A meta–analytic review,"TJ Bae, S Qian, C Miao, JO Fiet - Entrepreneurship theory …, 2014 - journals.sagepub.com",2014 - journals.sagepub.com,,"… attributes of entrepreneurship education, students’ differences, … of entrepreneurship education 
and did not provide reliability, we … that the educational format, whether it was delivered in a …",https://journals.sagepub.com/doi/pdf/10.1111/etap.12095
The chronology and intellectual trajectory of American entrepreneurship education: 1876–1999,"JA Katz - Journal of business venturing, 2003 - Elsevier",2003 - Elsevier,,"… , this delivered small business training through universities.) … It also is reflected by the growth 
of entrepreneurship and … from students, firms and governments to let entrepreneurship fall …",https://www.sciencedirect.com/science/article/pii/S0883902602000988
Assessing “ME generation's” entrepreneurship degree programmes in Malaysia,"M Nizam Zainuddin, M Rozaini Mohd Rejab - Education+ Training, 2010 - emerald.com",2010 - emerald.com,,"… programme and its impact towards ME generation students, … the delivery of entrepreneurship 
education in universities. … , ICT has provided an opportunity to deliver entrepreneurship …",https://www.emerald.com/insight/content/doi/10.1108/00400911011068469/full/html
[PDF][PDF] ICT competency for sustainability in instructional delivery of Business Education academic staff,"GO Onajite, MA Aina - Social Science Education Journal, 2017 - soscedj.eksu.edu.ng",2017 - soscedj.eksu.edu.ng,,"… internet facilities for research in business education for sustainability in instructional delivery… 
academic staff in business education in using ICT facilities to guide learners in searching for …",http://soscedj.eksu.edu.ng/wp-content/uploads/2019/04/No-14-Onajite-Godwin-and-Aina.pdf
"Some research perspectives on entrepreneurship education, enterprise education and education for small business management: a ten-year literature review","G Gorman, D Hanlon, W King - International small business …, 1997 - journals.sagepub.com",1997 - journals.sagepub.com,,"… Although this article deals primarily with post-se con dary students, it also has implications 
for the broader … These results provide a basis for designing entrepreneurship courses and …",https://journals.sagepub.com/doi/pdf/10.1177/0266242697153004
"Exploring graduate entrepreneurship: a collaborative, co-learning based approach for students, entrepreneurs and educators","PD Hannon, LA Collins… - … and Higher Education, 2005 - journals.sagepub.com",2005 - journals.sagepub.com,,"… supply of entrepreneurship education in UK higher education … It is also recognized that 
entrepreneurship education is a … that provide educational opportunities to entrepreneurs, which …",https://journals.sagepub.com/doi/pdf/10.5367/0000000053123600
Practice‐based learning in entrepreneurship education: a means of connecting knowledge producers and users,"B Hynes, Y Costin, N Birdthistle - Higher Education, Skills and Work …, 2010 - emerald.com",2010 - emerald.com,,"… ‐based initiative in entrepreneurship education implemented at the … of the business consulting 
programme, how it is operated, delivered, and assessed as a means of providing students …",https://www.emerald.com/insight/content/doi/10.1108/20423891111085366/full/html
Exploring the link between entrepreneurship education and entrepreneurial intentions: the moderating role of educational fields,"CD Duong - Education+ Training, 2022 - emerald.com",2022 - emerald.com,,"… It means that entrepreneurial education first affects attitude toward … Finally, the participants 
were recruited via a questionnaire that was directly delivered to university students. All the …",https://www.emerald.com/insight/content/doi/10.1108/ET-05-2021-0173/full/html
The impact of a STEM-based entrepreneurship program on the entrepreneurial intention of secondary school female students,"M Shahin, O Ilic, C Gonsalvez, J Whittle - International Entrepreneurship …, 2021 - Springer",2021 - Springer,,"… to develop and deliver entrepreneurship education programs for secondary school level 
students. … First, it was a team-based entrepreneurship program, as we grouped 203 …",https://link.springer.com/article/10.1007/s11365-020-00713-7
Underlying strategies for improving entrepreneurial skills development of technical and vocational students in developing countries: using Ghana as a case study,"E Kissi, DK Ahadzie, C Debrah, T Adjei-Kumi - Education+ Training, 2020 - emerald.com",2020 - emerald.com,,"… The results of the study showed the mode of instruction delivery of entrepreneurial education 
… When education is centred on the student or the learner, it helps to identify the weaknesses …",https://www.emerald.com/insight/content/doi/10.1108/ET-11-2019-0264/full/html
The elusive role of play in entrepreneurship education,"H Neck, E Grossman, D Winkel, J Stamp - … Entrepreneurship Education …, 2022 - Springer",2022 - Springer,,"… been seen as elusive, we provide a brief overview of what we … Even in entrepreneurship, 
however, where we find students … we may study in business; it is comprised of people with …",https://link.springer.com/chapter/10.1007/978-3-030-87865-8_5
[PDF][PDF] A new way of infusing entrepreneurship education into the IT curricula: A special case from UAE,"E Bataineh, Z Maamar - International Journal of Innovation, Management …, 2016 - ijimt.org",2016 - ijimt.org,,"… and deliver a course in international entrepreneurship education. The course has been 
designed like a workshop whose ultimate aim would be for students to design, build their own IT …",http://www.ijimt.org/vol7/662-SM0012.pdf
University's entrepreneurship education: Creating meaningful impression for new generation,"MN Zainuddin - Edited by Thierry Burger-Helmchen, 2012 - books.google.com",2012 - books.google.com,,"… and skills, it might affect the delivery of entrepreneurship education to the students thus affect 
… later deliver entrepreneurship education to the students becoming very enormous indeed. …",https://books.google.com/books?hl=en&lr=&id=MeKdDwAAQBAJ&oi=fnd&pg=PA175&dq=deliver+entrepreneurship+education+to+ict+students&ots=5hrnFdL9RV&sig=aw5PP_O2QycM94ICkAYRfyROvfw
"Gender, Entrepreneurial Self–Efficacy, and Entrepreneurial Career Intentions: Implications for Entrepreneurship Education","F Wilson, J Kickul, D Marlino - Entrepreneurship theory and …, 2007 - journals.sagepub.com",2007 - journals.sagepub.com,,"… It is notable that our sample of MBA students was drawn from … of entrepreneurship education 
experiences may provide a … sense of what it takes to start a successful business and the …",https://journals.sagepub.com/doi/pdf/10.1111/j.1540-6520.2007.00179.x
Evaluating the impact of social enterprise education on students' enterprising characteristics in the United Arab Emirates,"N Yasin, Z Khansari - Education+ Training, 2021 - emerald.com",2021 - emerald.com,,"… The outcomes of this research deliver valuable insights about the divergent influences of … 
Another limitation of this study is that it is confined to one specific cohort and could possibly …",https://www.emerald.com/insight/content/doi/10.1108/ET-04-2020-0076/full/html
The advance of the MOOCs (massive open online courses): The impending globalisation of business education?,"T Clarke - Education+ Training, 2013 - emerald.com",2013 - emerald.com,,"… of learners will ultimately abandon outright our formal learning solutions if what we provide 
them … While e‐Learning will never capture 100 per cent of this market, we believe that it can …",https://www.emerald.com/insight/content/doi/10.1108/00400911311326036/full/html
Creating an entrepreneurial mindset: getting the process right for information and communication technology students,"B Hynes, I Richardson - Information communication technologies …, 2008 - igi-global.com",2008 - igi-global.com,,"… linking of entrepreneurship education to the ICT curriculum … such as entrepreneurial activity, 
entrepreneurship education, … required about entrepreneurship to provide students with the …",https://www.igi-global.com/chapter/creating-entrepreneurial-mindset/22877
Student evaluation of online learning during the COVID-19 pandemic,"T Szopiński, K Bachnik - Technological Forecasting and Social Change, 2022 - Elsevier",2022 - Elsevier,,"… is to provide knowledge with regard to what extent a student's engagement, travel time to the 
business school, … in both frameworks; it focuses on the various types of students enrolled in …",https://www.sciencedirect.com/science/article/pii/S0040162521006363
[PDF][PDF] A distributed concurrent design based e-learning approach to entrepreneurship education,"D Stamatis, B Hansson, TA Hjeltnes… - Proceedings of …, 2015 - academia.edu",2015 - academia.edu,,"… Entrepreneurship Education, aiming to young ICT professionals willing to turn innovative 
ideas into a business… of responsibility the students accept during course delivery for their own …",https://www.academia.edu/download/38332231/STAMATIS_ET_AL_ICEIRD.pdf
[HTML][HTML] Addressing progressive educational reforms: Fusing acquisition approaches and participation in Chinese entrepreneurship education,"R Bell, J Cui - The International Journal of Management Education, 2023 - Elsevier",2023 - Elsevier,,"… “Our goal is to provide students with the essential knowledge and experience of facets of 
entrepreneurship, as it is through engagement in an activity you can apply learnt knowledge …",https://www.sciencedirect.com/science/article/pii/S1472811722001501
[PDF][PDF] Entrepreneurship Education in Library and Information Science: Fostering Economic Growth and Development in Nigeria,"J Abdullahi, A Barkindo, EA Chioma - Library Philosophy and …, 2021 - researchgate.net",2021 - researchgate.net,,"… many ICT related courses to provide students with relevant competencies for innovation and 
entrepreneurship in … LIS courses have the potential of empowering students to become self …",https://www.researchgate.net/profile/Chioma-Ezeabasili-2/publication/348429784_Entrepreneurship_Education_in_Library_and_Information_Science_Fostering_Economic_Growth_and_Development_in_Nigeria/links/60983968458515d3150bd5de/Entrepreneurship-Education-in-Library-and-Information-Science-Fostering-Economic-Growth-and-Development-in-Nigeria.pdf
Entrepreneurship training in tertiary education: Its development and transfer,"T Jackson - Local Economy, 2015 - journals.sagepub.com",2015 - journals.sagepub.com,,"… , so it is important to identify and develop good practice in the … to stimulate business formation 
through its delivery of student … evidence that enterprise and entrepreneurship education is …",https://journals.sagepub.com/doi/pdf/10.1177/0269094215589143
[PDF][PDF] Innovative online learning in entrepreneurship education: The impact of embedding real-life industry practice in the virtual learning environment,"PG Oliver, S Oliver - Industry and Higher Education, 2022 - journals.sagepub.com",2022 - journals.sagepub.com,,"… students to gain specialised skills to find employment after graduation. This study explores 
how educational scaffolding can facilitate the delivery … wider accessibility it would provide for …",https://journals.sagepub.com/doi/pdf/10.1177/09504222221121283
[PDF][PDF] Supporting entrepreneurship education in East Africa,"E Kaijage, D Wheeler - 2013 - assets.publishing.service.gov.uk",D Wheeler - 2013 - assets.publishing.service.gov.uk,,"… and students on the premise that entrepreneurial success … of entrepreneurship education as 
represented by this project, it … building in delivering entrepreneurship education. Likewise for …",https://assets.publishing.service.gov.uk/media/57a08a3440f0b652dd0005fc/Entrepreneurship-Education-East-Africa-2013_.pdf
[PDF][PDF] Digital skill and future of business education students,"ON Olaniyi - … Journal of Multidisciplinary and Current Educational …, 2022 - ijmcer.com",2022 - ijmcer.com,,"… of business education students. It looks into digital skill and business education development 
for … internationally Advertise across-boarders Delivering to customers across the globe The …",https://www.ijmcer.com/wp-content/uploads/2022/01/IJMCER_W0410186192.pdf
Practical knowledge in preparing financial statements and ICT-enabled financial plans: An empirical study among entrepreneurial students in Oman,"MM Thottoli - International Entrepreneurship Review, 2021 - ier.uek.krakow.pl",2021 - ier.uek.krakow.pl,,"… Entrepreneurship education among students has received … entrepreneurship, innovation, 
and to provide entrepreneurship creativity education, particularly among Omani students. …",https://ier.uek.krakow.pl/index.php/pm/article/view/2013
Identification of strategies for preparing business education students for global competitiveness,"AN Nwosu, EA Okoro - Nigerian Journal of Business Education  …, 2019 - nigjbed.com.ng",2019 - nigjbed.com.ng,,"… it was concluded that business education lecturers should therefore make effective use of 
these strategies for proper delivery … study, it is recommended that: Business education lecturers …",http://www.nigjbed.com.ng/index.php/nigjbed/article/view/298
[PDF][PDF] A Study of entrepreneurship education in Botswana and the significance of institutional preparation,"JR Swartland - Biennale on Education in Africa, 2008 - biennale.adeanet.org",2008 - biennale.adeanet.org,,"… curriculum to permeate and alter it in a way that affects all learners. EE content is therefore 
spread across as many subjects as possible to provide learners with frequent EE encounters. …",https://biennale.adeanet.org/2008/Documentation/Papers%20for%20presentation/06.%20Session%206/Parallel%20session%206C/Final%20PDF%20documents/Session%206C%20Doc%202%20Botswana%20ENG.pdf
[PDF][PDF] Competency-based entrepreneurship education: analysis of the disruptive innovation theory in African HEIs,"BN Irene, AP Opute, AS Ibidunni - … Journal of Business …, 2020 - pureportal.coventry.ac.uk",2020 - pureportal.coventry.ac.uk,,"… While entrepreneurship education has been delivered in the traditional credit hour … and 
student. Therefore, while the disruptive innovations are enablers, it is crucial that business school …",https://pureportal.coventry.ac.uk/files/27578495/Irene_et_al_.pdf
[PDF][PDF] Status of entrepreneurship education in south-south Nigerian tertiary institutions as perceived by lecturers,"AO Oriazowanlan - Unpublished Doctoral Dissertation). Nnamdi …, 2013 - academia.edu",2013 - academia.edu,,"… students but is what is currently on ground in these institutions are not known. If the delivering 
practice of any course is not effective, it … entrepreneurship education lecturers for delivering …",https://www.academia.edu/download/51789133/STATUS__OF_ENTREPRENEURSHIP_EDUCATION_IN_SOUTH-SOUTH_NIGERIAN_TERTIARY_INSTITUTIONS.pdf
"Entrepreneurship education and the enhancement of entrepreneurial skills among undergraduates in South-Eastern Federal universities, Nigeria",VN Okoro - 2016 - dspace.unn.edu.ng,VN Okoro - 2016 - dspace.unn.edu.ng,,"… NUC, it becomes obvious that entrepreneurship education is … pedagogies for entrepreneurship 
education delivery in Nigerian … extent to which it imparts entrepreneurial skills in students. …",http://dspace.unn.edu.ng/handle/123456789/1622
Connecting entrepreneurial and action learning in student-initiated new business ventures: The case of SPEED,"D Rae - Action Learning: Research and Practice, 2009 - Taylor & Francis",2009 - Taylor & Francis,,"… It will summarise the development and delivery of the SPEED … In summary, it is possible to 
trace increasing connections … learning, in enterprise education, entrepreneurial learning and …",https://www.tandfonline.com/doi/abs/10.1080/14767330903301799
[PDF][PDF] Nexus of ICT & Entrepreneurship Education in Nigeria: A Critical Review,"M Suleiman, HSB Magaji - International Journal of Research, 2020 - academia.edu",2020 - academia.edu,,"… relationship between ICT and entrepreneurship education in Nigeria. Small business growth… 
It explains exciting and innovative ways to provide students with global access to information…",https://www.academia.edu/download/89536644/19655.pdf
Influence of early exposure to family business experience on developing entrepreneurs,"C Tarling, P Jones, L Murphy - Education+ Training, 2016 - emerald.com",2016 - emerald.com,,"… It is found that individuals attachment to business and … Entrepreneurship education can 
provide learners with a resource of newly acquainted role models who may support students with …",https://www.emerald.com/insight/content/doi/10.1108/ET-03-2016-0050/full/html
[PDF][PDF] ENTREPRENEURIAL EDUCATION FOR STUDENTS OF NON-ECONOMICS EDUCATIONAL PROGRAMS.,"I Štefanić, G Šimunović, E Štefanić… - Tehnicki vjesnik …, 2017 - researchgate.net",2017 - researchgate.net,,"… They point out that it is not enough to give the idea to the students about potential of the … 
programs at all levels, and new and innovative ways to deliver that content represent the great …",https://www.researchgate.net/profile/Ivan-Stefanic/publication/318927874_ENTREPRENEURIAL_EDUCATION_FOR_STUDENTS_OF_NON-ECONOMICS_EDUCATIONAL_PROGRAMS/links/5985e99ba6fdcc75625502db/ENTREPRENEURIAL-EDUCATION-FOR-STUDENTS-OF-NON-ECONOMICS-EDUCATIONAL-PROGRAMS.pdf
[PDF][PDF] Digital Entrepreneurship In Academic Environment: Are We There Yet,"RL Lubis - Journal of Teaching and Education, 2019 - researchgate.net",2019 - researchgate.net,,"… The variety of audiences of entrepreneurship education programs includes students with … 
it is worth noting to provide the readers with the insights into the nature of the intersection of …",https://www.researchgate.net/profile/Ratna-Lubis/publication/339089384_DIGITAL_ENTREPRENEURSHIP_IN_ACADEMIC_ENVIRONMENT_ARE_WE_THERE_YET/links/5e3cf9c1458515072d862a86/DIGITAL-ENTREPRENEURSHIP-IN-ACADEMIC-ENVIRONMENT-ARE-WE-THERE-YET.pdf
The role of e‐mentoring in entrepreneurial education and support: a meta‐review of academic literature,"L Perren - Education+ Training, 2003 - emerald.com",2003 - emerald.com,,"… undergraduate students. However, as Table I shows, no articles reviewed for this report 
provide a … However, it is evident from this study that ICT cannot replace face‐to‐face interaction …",https://www.emerald.com/insight/content/doi/10.1108/00400910310508900/full/html
Youth entrepreneurship education and training for poverty alleviation: A review of international literature and local experiences,"A Baxter, DW Chapman, J DeJaeghere… - … entrepreneurship, 2014 - emerald.com",2014 - emerald.com,,"… social entrepreneurs are leading initiatives to provide market-… It is possible that all of these 
different approaches will yield … How long does it take to prepare students for employment …",https://www.emerald.com/insight/content/doi/10.1108/S1479-3679(2013)0000023010/full/html
[PDF][PDF] Entrepreneurship skills development and self-reliance motive,"TA Ukah, CA Atah - World Journal of Entrepreneurial Development …, 2021 - iiardjournals.org",2021 - iiardjournals.org,,"… To Lee and Wong (2008), entrepreneurship education is a … This is because it seeks to provide 
students with the … cannot deliver the content of entrepreneurship education curriculum. The …",https://www.iiardjournals.org/get/WJEDS/VOL.%206%20NO.%201%202021/ENTREPRENEURSHIP%20SKILLS%20DEVELOPMENT.pdf
Content Analysis of Entrepreneurship Education in Primary and Secondary School Textbooks,"T Dorji - Research in Educational Policy and Management, 2021 - repamjournal.org",2021 - repamjournal.org,,"… Thus, most students do not have entrepreneurship education and … The existing school 
textbooks do not deliver the right skills for the … Through this study, it was discovered that the current …",http://repamjournal.org/index.php/REPAM/article/view/41
Entrepreneurship education: Innovations and best practices,"MJ Manimala, P Thomas - Entrepreneurship education: Experiments with …, 2017 - Springer",2017 - Springer,,"… The issue of ‘where’ to provide entrepreneurship education/training is intrinsically linked 
with the choice of the target group. If it is given to students as part of their formal education, it …",https://link.springer.com/chapter/10.1007/978-981-10-3319-3_1
The Usage of Radio Streaming for Entrepreneurship Education,"M Teguh, PA Pascarina, VJ Augusto - Journal on Education, 2023 - jonedu.org",2023 - jonedu.org,,"… It is hoped that the results of this research will be a real contribution to the world of 
entrepreneurship education. … is expected to provide benefits for both teachers and students. For …",https://www.jonedu.org/index.php/joe/article/view/1930
Effectiveness of entrepreneurship education in developing entrepreneurial intentions among Malaysian university students,P Rengiah - 2013 - researchportal.scu.edu.au,P Rengiah - 2013 - researchportal.scu.edu.au,,"… of knowledge on entrepreneurship education in the Malaysian universities. It also proposed 
… entrepreneurship education and entrepreneurial intentions as necessary and appropriate. …",https://researchportal.scu.edu.au/esploro/outputs/991012821351302368?institution=61SCU_INST&skipUsageReporting=true&recordUsage=false
[PDF][PDF] Teaching strategies to develop technical entrepreneurs,"N Asykin, MS Rasul, N Othman - International Journal of Innovation …, 2019 - ijicc.net",2019 - ijicc.net,,"… It aims to generate entrepreneurial graduates capable of … that entrepreneurship education 
not only educates students to … in delivering entrepreneurial knowledge to students should be …",https://ijicc.net/images/vol7iss6/7611_Asykin_2019_E_R.pdf
